date,m1,m2,m3,m6,y1,y2,y3,y5,y7,y10,y20,y30
20190401,2.42,2.43,2.43,2.46,2.41,2.33,2.29,2.31,2.4,2.49,2.71,2.89
20190402,2.43,2.42,2.42,2.45,2.41,2.3,2.26,2.28,2.38,2.48,2.7,2.88
20190403,2.42,2.43,2.44,2.45,2.41,2.33,2.29,2.32,2.42,2.52,2.75,2.93
20190404,2.43,2.43,2.44,2.46,2.41,2.33,2.29,2.32,2.41,2.51,2.74,2.92
20190405,2.42,2.43,2.44,2.46,2.43,2.35,2.3,2.31,2.4,2.5,2.72,2.91
20190408,2.43,2.44,2.43,2.48,2.43,2.36,2.31,2.33,2.42,2.52,2.74,2.93
20190409,2.42,2.43,2.42,2.46,2.42,2.35,2.31,2.31,2.4,2.51,2.73,2.92
20190410,2.4,2.41,2.43,2.46,2.41,2.31,2.27,2.28,2.37,2.48,2.71,2.9
20190411,2.42,2.43,2.43,2.46,2.44,2.35,2.3,2.31,2.4,2.51,2.74,2.94
20190412,2.41,2.43,2.44,2.47,2.44,2.4,2.36,2.38,2.47,2.56,2.78,2.97
20190415,2.42,2.43,2.43,2.46,2.43,2.4,2.36,2.37,2.46,2.55,2.77,2.96
20190416,2.43,2.44,2.43,2.47,2.45,2.41,2.38,2.41,2.5,2.6,2.81,2.99
20190417,2.43,2.44,2.44,2.47,2.44,2.4,2.37,2.4,2.49,2.59,2.81,2.99
20190418,2.44,2.44,2.42,2.47,2.44,2.38,2.36,2.38,2.46,2.57,2.78,2.96
20190422,2.44,2.44,2.44,2.47,2.46,2.38,2.36,2.39,2.49,2.59,2.82,2.99
20190423,2.43,2.44,2.45,2.46,2.43,2.36,2.34,2.36,2.46,2.57,2.81,2.98
20190424,2.42,2.43,2.44,2.46,2.42,2.32,2.28,2.32,2.41,2.53,2.76,2.94
20190425,2.43,2.44,2.43,2.46,2.42,2.33,2.29,2.33,2.42,2.54,2.76,2.94
20190426,2.42,2.43,2.42,2.46,2.41,2.28,2.25,2.29,2.39,2.51,2.74,2.92
20190429,2.45,2.45,2.44,2.47,2.42,2.3,2.27,2.32,2.42,2.54,2.78,2.96
20190430,2.43,2.44,2.43,2.46,2.39,2.27,2.24,2.28,2.39,2.51,2.75,2.93
20190501,2.42,2.41,2.43,2.44,2.39,2.31,2.28,2.31,2.41,2.52,2.74,2.92
