ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
AZN,20231229,67.35,67.38,67.52,67.04,67.3,0.07,3348577,225345499.59,67.3
AZN,20231228,67.3,67.55,67.74,67.29,67.35,-0.07,2831277,191033045.76,67.47
AZN,20231227,67.35,67.56,67.58,67.07,66.5,1.28,3809044,256262188.28,67.28
AZN,20231226,66.5,66.5,66.64,66.22,66.29,0.32,2627401,174524078.86,66.42
AZN,20231222,66.29,67.0,67.12,66.16,66.3,-0.02,3488458,232231892.21,66.57
AZN,20231221,66.3,66.73,66.88,66.03,65.78,0.79,5554945,368706680.24,66.37
AZN,20231220,65.78,66.69,66.83,65.78,65.9,-0.18,5149902,341929262.51,66.4
AZN,20231219,65.9,65.62,66.27,65.58,65.95,-0.08,5540164,365289605.31,65.93
AZN,20231218,65.95,65.47,66.18,65.32,64.8,1.77,6284109,413625760.35,65.82
AZN,20231215,64.8,64.87,65.05,64.49,66.35,-2.34,8986313,582457780.01,64.82
AZN,20231214,66.35,66.7,66.88,66.07,65.9,0.68,7561817,502222643.39,66.42
AZN,20231213,65.9,65.72,65.9,64.91,63.98,3.0,5804426,379395271.28,65.36
AZN,20231212,63.98,64.48,64.52,63.65,63.5,0.76,4271688,273191970.06,63.95
AZN,20231211,63.5,63.54,63.68,63.14,63.25,0.4,4925473,312432637.81,63.43
AZN,20231208,63.25,63.66,63.69,63.03,63.51,-0.41,4580168,290133476.32,63.35
AZN,20231207,63.51,63.82,63.82,63.07,63.59,-0.13,6182973,392393682.0,63.46
AZN,20231206,63.59,64.48,64.52,63.53,64.01,-0.66,4277254,273489785.05,63.94
AZN,20231205,64.01,64.23,64.44,63.92,65.02,-1.55,3993521,256096906.05,64.13
AZN,20231204,65.02,64.87,65.11,64.61,64.79,0.36,3293694,213837164.18,64.92
AZN,20231201,64.79,64.59,65.06,64.37,64.59,0.31,3613102,233915496.95,64.74
AZN,20231130,64.59,63.97,64.9,63.79,64.12,0.73,9986938,641525902.89,64.24
AZN,20231129,64.12,64.14,64.34,63.71,63.3,1.3,8427109,539644234.05,64.04
AZN,20231128,63.3,63.2,63.53,63.09,63.66,-0.57,5762848,364664924.64,63.28
AZN,20231127,63.66,63.9,63.99,63.36,64.5,-1.3,4307266,274104484.3,63.64
AZN,20231124,64.5,64.33,64.74,64.25,63.61,1.4,2112323,136190137.01,64.47
AZN,20231122,63.61,63.71,63.92,63.27,64.28,-1.04,4746746,301638629.51,63.55
AZN,20231121,64.28,64.05,64.43,64.03,63.79,0.77,3625779,232982417.24,64.26
AZN,20231120,63.79,63.24,63.88,63.16,64.13,-0.53,5457367,347364711.26,63.65
AZN,20231117,64.13,64.28,64.42,64.01,63.8,0.52,3967336,254533942.85,64.16
AZN,20231116,63.8,63.42,63.87,63.31,63.13,1.06,5494301,349521584.43,63.62
AZN,20231115,63.13,63.49,63.76,63.08,64.23,-1.71,6235770,395057193.7,63.35
AZN,20231114,64.23,64.14,64.75,63.96,63.7,0.83,4766156,306418538.02,64.29
AZN,20231113,63.7,63.21,63.89,62.65,63.17,0.84,5732594,363899357.46,63.48
AZN,20231110,63.17,63.24,63.38,61.87,64.09,-1.44,5963203,373945858.86,62.71
AZN,20231109,64.09,65.26,65.58,64.06,63.53,0.88,6741258,435975349.52,64.67
AZN,20231108,63.53,63.77,64.18,63.08,63.61,-0.13,9910215,629444283.11,63.51
AZN,20231107,63.61,63.67,63.96,63.52,64.05,-0.69,4296957,273591574.93,63.67
AZN,20231106,64.05,64.41,64.53,64.01,63.96,0.14,4173453,268123913.68,64.25
AZN,20231103,63.96,63.86,64.31,63.46,64.18,-0.34,4338707,277692012.62,64.0
AZN,20231102,64.18,64.21,64.45,63.74,63.78,0.63,5059359,324026176.63,64.04
AZN,20231101,63.78,63.25,63.99,63.25,63.23,0.87,4569438,290749670.68,63.63
AZN,20231031,63.23,62.99,63.25,62.6,62.94,0.46,5135391,323106492.19,62.92
AZN,20231030,62.94,62.8,63.04,62.43,61.89,1.7,5008137,314590648.0,62.82
AZN,20231027,61.89,63.15,63.23,61.73,63.41,-2.4,5207930,324050445.26,62.22
AZN,20231026,63.41,64.08,64.41,63.32,64.21,-1.25,5297820,337404911.25,63.69
AZN,20231025,64.21,64.66,64.97,64.01,64.57,-0.56,4602859,296491307.53,64.41
AZN,20231024,64.57,63.29,64.75,63.29,63.05,2.41,7303594,470062998.15,64.36
AZN,20231023,63.05,62.82,63.49,62.22,63.83,-1.22,9006664,566677709.91,62.92
AZN,20231020,63.83,63.92,64.49,63.83,64.42,-0.92,5825883,373630177.61,64.13
AZN,20231019,64.42,64.88,65.18,64.07,65.24,-1.26,8690320,561423376.13,64.6
AZN,20231018,65.24,66.8,67.22,64.97,69.27,-5.82,13367415,878030673.93,65.68
AZN,20231017,69.27,68.28,70.94,63.56,67.82,2.15,22527321,1537122553.03,68.23
AZN,20231016,67.82,66.61,67.94,66.54,67.33,0.73,8785633,592477646.33,67.44
AZN,20231013,67.33,67.71,68.13,66.96,68.11,-1.15,3857190,259755934.18,67.34
AZN,20231012,68.11,68.42,68.65,67.87,68.01,0.15,3841971,262112693.15,68.22
AZN,20231011,68.01,67.8,68.03,67.24,68.01,0.0,4411942,299114199.33,67.8
AZN,20231010,68.01,67.48,68.1,67.21,67.04,1.45,3722926,252392808.44,67.79
AZN,20231009,67.04,66.75,67.27,66.4,67.42,-0.56,3018230,201640388.65,66.81
AZN,20231006,67.42,67.04,67.56,66.44,66.88,0.81,3076567,206942836.46,67.26
AZN,20231005,66.88,66.64,67.14,66.39,66.62,0.39,2394661,159951158.79,66.79
AZN,20231004,66.62,66.54,66.74,66.04,66.26,0.54,3862832,256704863.67,66.46
AZN,20231003,66.26,66.85,66.87,65.98,66.73,-0.7,4139234,274350888.22,66.28
AZN,20231002,66.73,66.92,66.96,66.25,67.72,-1.46,3891532,259199392.07,66.61
AZN,20230929,67.72,68.78,68.78,67.58,67.42,0.44,3656200,248785788.97,68.04
AZN,20230928,67.42,67.28,67.85,66.71,67.94,-0.77,4393680,296045714.64,67.38
AZN,20230927,67.94,68.65,68.72,67.4,68.22,-0.41,3839691,260673926.53,67.89
AZN,20230926,68.22,68.96,69.18,68.08,68.94,-1.04,3444632,235668314.93,68.42
AZN,20230925,68.94,68.28,69.24,67.93,67.83,1.64,4233797,290993956.83,68.73
AZN,20230922,67.83,68.37,68.51,67.74,67.02,1.21,4351617,296536580.14,68.14
AZN,20230921,67.02,68.09,68.11,67.02,67.96,-1.38,3729413,251557831.34,67.45
AZN,20230920,67.96,67.97,68.5,67.77,66.67,1.93,5978442,407308276.2,68.13
AZN,20230919,66.67,66.18,66.68,65.82,66.63,0.06,4009516,265899874.48,66.32
AZN,20230918,66.63,67.75,67.86,66.49,68.27,-2.4,3813924,254726663.54,66.79
AZN,20230915,68.27,68.64,68.9,68.2,67.78,0.72,5178922,354478074.78,68.45
AZN,20230914,67.78,66.86,68.04,66.78,66.45,2.0,4802453,325256714.03,67.73
AZN,20230913,66.45,67.19,67.41,66.43,67.34,-1.32,4771215,318372236.55,66.73
AZN,20230912,67.34,67.16,67.61,66.99,66.6,1.11,4366742,294178260.22,67.37
AZN,20230911,66.6,65.96,66.63,65.71,68.22,-2.37,6419012,425787868.2,66.33
AZN,20230908,68.22,68.33,68.49,68.06,68.0,0.32,4372008,298343185.23,68.24
AZN,20230907,68.0,67.34,68.26,67.29,67.0,1.49,2907285,197312496.38,67.87
AZN,20230906,67.0,67.28,67.34,66.6,67.64,-0.95,5015016,335778876.73,66.95
AZN,20230905,67.64,68.35,68.36,67.58,68.14,-0.73,2562627,174106918.23,67.94
AZN,20230901,68.14,68.4,68.51,67.88,67.82,0.47,2575010,175566246.96,68.18
AZN,20230831,67.82,68.99,68.99,67.76,68.86,-1.51,4334949,295404258.62,68.14
AZN,20230830,68.86,69.46,69.58,68.79,69.14,-0.4,2980238,205694858.51,69.02
AZN,20230829,69.14,68.37,69.17,68.34,68.64,0.73,2770587,190792051.9,68.86
AZN,20230828,68.64,68.61,68.74,68.31,68.25,0.57,1970795,135094455.73,68.55
AZN,20230825,68.25,68.04,68.45,67.26,67.89,0.53,3727726,253202444.78,67.92
AZN,20230824,67.89,68.83,69.15,67.89,69.1,-1.75,3868038,264444993.53,68.37
AZN,20230823,69.1,68.66,69.21,68.38,68.77,0.48,4063536,279854899.42,68.87
AZN,20230822,68.77,68.81,68.97,68.38,68.88,-0.16,4211473,289417895.26,68.72
AZN,20230821,68.88,68.98,69.14,68.52,68.46,0.61,4061705,279749931.88,68.88
AZN,20230818,68.46,68.37,68.78,68.1,69.12,-0.95,7611258,520801866.12,68.43
AZN,20230817,69.12,69.24,69.77,69.12,69.71,-0.85,6432203,446460515.97,69.41
AZN,20230816,69.71,68.95,70.03,68.92,69.51,0.29,5569180,388077760.27,69.68
AZN,20230815,69.51,69.94,70.12,69.34,70.84,-1.88,4243754,295376766.24,69.6
AZN,20230814,70.84,70.03,70.9,69.94,70.37,0.67,3820682,269797833.86,70.62
