ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
BA,20231229,260.66,260.67,262.22,259.56,260.35,0.12,3617972,944004510.41,260.92
BA,20231228,260.35,261.53,262.1,257.68,262.1,-0.67,4991852,1296121742.41,259.65
BA,20231227,262.1,262.63,264.66,260.9,262.79,-0.26,3391098,889621802.29,262.34
BA,20231226,262.79,259.8,263.76,259.54,260.44,0.9,3928581,1030986861.85,262.43
BA,20231222,260.44,261.83,262.84,259.2,262.02,-0.6,4391531,1144632837.18,260.65
BA,20231221,262.02,265.95,267.54,260.19,260.25,0.68,6452137,1692543934.25,262.32
BA,20231220,260.25,262.25,266.13,260.15,263.51,-1.24,5112242,1344025445.57,262.9
BA,20231219,263.51,261.04,265.34,260.8,260.41,1.19,6062024,1596809077.82,263.41
BA,20231218,260.41,260.63,263.13,260.25,264.27,-1.46,6066109,1586340824.6,261.51
BA,20231215,264.27,255.7,265.52,255.7,256.24,3.13,14942684,3922502067.74,262.5
BA,20231214,256.24,250.91,257.12,249.26,250.91,2.12,7861590,1993034998.26,253.52
BA,20231213,250.91,249.1,251.87,247.53,248.63,0.92,5453680,1364275736.93,250.16
BA,20231212,248.63,247.95,250.57,247.4,248.08,0.22,5651391,1407743470.16,249.1
BA,20231211,248.08,243.5,248.08,243.31,244.7,1.38,7501227,1847421013.64,246.28
BA,20231208,244.7,237.32,244.7,237.32,237.33,3.11,7087633,1717916788.1,242.38
BA,20231207,237.33,236.9,238.3,230.0,236.89,0.19,6284883,1480568917.43,235.58
BA,20231206,236.89,234.78,239.23,234.43,234.16,1.17,4536445,1076735654.57,237.35
BA,20231205,234.16,233.54,234.74,231.49,234.87,-0.3,3545838,827663123.45,233.42
BA,20231204,234.87,231.3,234.94,230.07,233.87,0.43,5092563,1186299361.11,232.95
BA,20231201,233.87,231.77,235.38,231.38,231.63,0.97,6820109,1595950586.92,234.01
BA,20231130,231.63,225.0,233.0,225.0,224.43,3.21,8679809,1991781897.46,229.47
BA,20231129,224.43,223.35,224.99,221.34,222.37,0.93,5302563,1187129373.36,223.88
BA,20231128,222.37,222.01,224.8,219.41,219.3,1.4,7637481,1698300137.71,222.36
BA,20231127,219.3,218.81,219.53,217.66,220.0,-0.32,3578358,783033867.3,218.82
BA,20231124,220.0,220.61,221.59,218.96,219.91,0.04,2311997,509335251.1,220.3
BA,20231122,219.91,218.0,221.5,217.7,218.27,0.75,5353395,1176196021.47,219.71
BA,20231121,218.27,216.5,219.38,216.07,217.71,0.26,5332914,1163302661.47,218.14
BA,20231120,217.71,211.01,218.88,210.94,208.04,4.65,11528833,2492159007.53,216.17
BA,20231117,208.04,208.36,209.42,206.82,206.6,0.7,3531890,735047092.83,208.12
BA,20231116,206.6,207.5,207.89,204.81,208.71,-1.01,4572754,943918855.29,206.42
BA,20231115,208.71,208.21,211.09,207.6,207.47,0.6,5179274,1084964676.07,209.48
BA,20231114,207.47,207.25,208.56,205.98,204.54,1.43,7244559,1502362880.76,207.38
