ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
JPM,20231229,170.1,170.0,170.69,169.63,170.3,-0.12,6409930,1090757981.42,170.17
JPM,20231228,170.3,169.35,170.66,169.0,169.4,0.53,5969250,1016086928.85,170.22
JPM,20231227,169.4,167.84,169.47,167.58,168.39,0.6,5678680,959775285.78,169.01
JPM,20231226,168.39,167.46,168.76,167.18,167.4,0.59,4619195,777739913.3,168.37
JPM,20231222,167.4,167.5,168.23,167.23,167.5,-0.06,6164711,1033545855.65,167.66
JPM,20231221,167.5,166.84,168.09,165.68,166.55,0.57,7536063,1258136749.94,166.95
JPM,20231220,166.55,167.99,169.41,166.45,168.45,-1.13,10208954,1713025831.06,167.8
JPM,20231219,168.45,166.0,168.47,165.55,166.23,1.34,9267070,1552498429.17,167.53
JPM,20231218,166.23,165.92,167.13,165.63,165.23,0.61,8065277,1340816007.5,166.25
JPM,20231215,165.23,163.08,165.28,162.39,163.99,0.76,19937133,3280093207.37,164.52
JPM,20231214,163.99,161.83,164.84,161.71,161.06,1.82,13387516,2189248442.72,163.53
JPM,20231213,161.06,160.52,162.03,159.77,160.52,0.34,11511442,1851559039.63,160.85
JPM,20231212,160.52,159.23,160.65,158.88,159.1,0.89,10099387,1617527921.31,160.16
JPM,20231211,159.1,158.52,159.3,158.15,158.52,0.37,7712934,1225550504.4,158.9
JPM,20231208,158.52,157.26,158.78,156.98,156.79,1.1,7261871,1148465697.46,158.15
JPM,20231207,156.79,156.69,157.31,156.15,156.31,0.31,7974609,1249981682.63,156.75
JPM,20231206,156.31,158.84,159.22,156.0,157.97,-1.05,9282395,1459350294.72,157.22
JPM,20231205,157.97,157.26,158.5,156.97,157.99,-0.01,8472512,1336877668.48,157.79
JPM,20231204,157.99,156.02,158.05,155.88,156.84,0.73,9350410,1472515657.37,157.48
JPM,20231201,156.84,155.82,157.86,155.82,156.08,0.49,8805328,1382890938.98,157.05
JPM,20231130,156.08,154.91,156.13,154.38,154.32,1.14,9638836,1500110360.47,155.63
JPM,20231129,154.32,154.17,155.63,154.0,153.54,0.51,9096305,1407635097.1,154.75
JPM,20231128,153.54,153.22,153.87,152.72,153.19,0.23,6197902,951283810.87,153.48
JPM,20231127,153.19,153.43,153.53,152.71,153.54,-0.23,5834477,893050196.22,153.06
JPM,20231124,153.54,153.59,154.44,153.28,153.33,0.14,3496537,537628228.43,153.76
JPM,20231122,153.33,153.41,153.88,152.9,152.97,0.24,5155723,790867852.44,153.4
JPM,20231121,152.97,153.2,153.63,152.57,153.29,-0.21,7059637,1080663887.86,153.08
JPM,20231120,153.29,152.08,153.75,151.92,152.82,0.31,6988531,1069323514.55,153.01
JPM,20231117,152.82,152.2,152.86,151.54,151.45,0.9,7687676,1172036176.09,152.46
JPM,20231116,151.45,150.09,151.53,150.09,149.74,1.14,8038801,1212601682.52,150.84
JPM,20231115,149.74,148.46,150.16,148.46,148.44,0.88,8285664,1239657216.52,149.61
JPM,20231114,148.44,146.68,149.25,146.52,145.78,1.82,9749621,1446408923.3,148.36
JPM,20231113,145.78,145.7,146.25,145.16,146.43,-0.44,6474574,943100045.45,145.66
JPM,20231110,146.43,144.94,146.48,144.08,144.29,1.48,7380938,1074742146.46,145.61
JPM,20231109,144.29,145.44,145.65,143.7,144.72,-0.3,7967106,1152235534.85,144.62
JPM,20231108,144.72,144.11,144.84,143.62,144.01,0.49,7251836,1047277521.86,144.42
JPM,20231107,144.01,143.51,144.26,142.82,144.08,-0.05,5681809,816886236.73,143.77
JPM,20231106,144.08,143.17,144.19,142.79,143.0,0.76,7583356,1089680482.06,143.69
JPM,20231103,143.0,142.19,143.77,141.85,141.42,1.12,9091461,1300145290.67,143.01
JPM,20231102,141.42,140.09,141.48,139.23,138.94,1.78,9272934,1306185575.97,140.86
JPM,20231101,138.94,139.25,140.53,138.47,139.06,-0.09,9182867,1279314789.25,139.32
JPM,20231031,139.06,137.71,139.24,137.47,137.42,1.19,9020617,1251206575.31,138.71
JPM,20231030,137.42,136.44,138.04,136.04,135.69,1.27,8821496,1210347183.63,137.2
JPM,20231027,135.69,138.95,139.1,135.19,140.76,-3.6,17222438,2351274403.27,136.52
JPM,20231026,140.76,139.76,141.66,139.43,140.4,0.26,9001555,1267468452.55,140.81
JPM,20231025,140.4,140.57,141.18,139.51,141.17,-0.55,7317535,1027065137.91,140.36
JPM,20231024,141.17,141.19,141.73,140.36,141.0,0.12,7924410,1118697676.55,141.17
JPM,20231023,141.0,142.94,143.68,140.73,142.95,-1.36,10039801,1427415835.43,142.18
JPM,20231020,142.95,144.57,145.14,142.12,145.29,-1.61,12833442,1839289035.77,143.32
JPM,20231019,145.29,145.48,147.02,144.88,145.91,-0.42,11136411,1623374788.37,145.77
JPM,20231018,145.91,146.59,147.48,145.37,147.53,-1.1,9510539,1391531660.62,146.31
JPM,20231017,147.53,147.57,149.31,146.79,147.85,-0.22,11464075,1695528782.29,147.9
JPM,20231016,147.85,149.45,149.52,146.72,148.0,-0.1,12280860,1815012983.93,147.79
JPM,20231013,148.0,148.5,153.11,147.84,145.81,1.5,28595305,4292781803.63,150.12
JPM,20231012,145.81,146.3,146.96,145.13,146.15,-0.23,10369665,1514177446.33,146.02
JPM,20231011,146.15,146.51,147.23,145.02,145.65,0.34,8292234,1211033509.97,146.04
JPM,20231010,145.65,145.42,146.77,145.28,144.77,0.61,10893723,1590611123.5,146.01
JPM,20231009,144.77,143.66,145.4,143.5,145.1,-0.23,6943500,1003610712.6,144.54
JPM,20231006,145.1,142.91,145.88,142.14,142.9,1.54,10157735,1469260601.78,144.64
JPM,20231005,142.9,142.04,143.1,140.83,143.35,-0.31,8546770,1215218219.07,142.18
JPM,20231004,143.35,143.19,143.47,141.93,142.71,0.45,8093094,1155624222.59,142.79
JPM,20231003,142.71,143.2,143.59,142.35,143.77,-0.74,9372531,1338814504.43,142.84
JPM,20231002,143.77,144.83,145.62,142.63,145.02,-0.86,9118531,1310306460.96,143.7
JPM,20230929,145.02,148.6,148.76,144.86,147.59,-1.74,11804723,1722450860.42,145.91
JPM,20230928,147.59,146.28,148.87,146.01,145.78,1.24,8724527,1288782766.18,147.72
JPM,20230927,145.78,145.19,146.09,144.51,144.93,0.59,6676129,971105718.66,145.46
JPM,20230926,144.93,144.6,145.84,144.23,146.45,-1.04,7390789,1071538022.51,144.98
JPM,20230925,146.45,145.35,146.52,143.7,145.73,0.49,7007668,1018453191.96,145.33
JPM,20230922,145.73,147.29,147.51,145.19,147.14,-0.96,6994469,1022344532.99,146.16
