ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
XOM,20231229,99.98,100.37,100.59,99.62,100.19,-0.21,17715430,1771073470.24,99.97
XOM,20231228,100.19,101.39,101.61,100.13,101.66,-1.45,16277829,1640245205.88,100.77
XOM,20231227,101.66,102.04,102.55,101.34,102.14,-0.47,14535723,1480706134.12,101.87
XOM,20231226,102.14,102.74,103.03,102.12,101.91,0.23,16796465,1722196984.78,102.53
XOM,20231222,101.91,102.31,102.94,101.82,101.73,0.18,12894004,1319122368.62,102.31
XOM,20231221,101.73,101.47,102.01,100.81,101.27,0.45,18827090,1910000937.93,101.45
XOM,20231220,101.27,103.5,103.94,101.13,102.99,-1.67,20847922,2133930752.15,102.36
XOM,20231219,102.99,102.0,103.19,101.79,101.65,1.32,18873411,1939528157.49,102.77
XOM,20231218,101.65,102.13,103.11,101.52,100.9,0.74,21204860,2171089277.9,102.39
XOM,20231215,100.9,100.59,101.0,100.31,101.58,-0.67,44958614,4528384910.95,100.72
XOM,20231214,101.58,99.85,102.14,99.72,98.92,2.69,26106899,2644028410.02,101.28
XOM,20231213,98.92,98.04,99.03,97.65,98.05,0.89,19560223,1923440934.35,98.33
XOM,20231212,98.05,98.68,98.68,97.48,99.62,-1.58,24584239,2410845973.09,98.06
XOM,20231211,99.62,99.8,99.86,98.58,99.55,0.07,22219278,2207500667.26,99.35
XOM,20231208,99.55,99.02,99.79,98.75,98.42,1.15,22003844,2186196211.37,99.36
XOM,20231207,98.42,99.86,100.84,98.09,99.11,-0.7,29880176,2957435299.62,98.98
XOM,20231206,99.11,100.0,100.72,98.34,100.44,-1.32,31118872,3089294992.28,99.27
XOM,20231205,100.44,102.27,102.34,100.29,102.43,-1.94,22198766,2242634996.89,101.03
XOM,20231204,102.43,102.13,103.36,101.59,102.99,-0.54,21515637,2206605002.57,102.56
XOM,20231201,102.99,102.5,104.22,102.22,102.74,0.24,17822586,1841176683.02,103.31
XOM,20231130,102.74,103.11,104.48,101.81,102.34,0.39,28343829,2916033251.64,102.88
XOM,20231129,102.34,104.27,104.58,101.64,103.9,-1.5,26779387,2756584403.74,102.94
XOM,20231128,103.9,104.24,104.91,103.88,103.96,-0.06,20607938,2149123543.86,104.29
XOM,20231127,103.96,104.1,104.4,103.18,104.57,-0.58,17990571,1866010988.94,103.72
XOM,20231124,104.57,104.02,105.47,103.91,104.01,0.54,9479379,994098683.98,104.87
XOM,20231122,104.01,102.58,104.12,101.94,104.46,-0.43,18066731,1870418127.65,103.53
XOM,20231121,104.46,104.21,104.7,103.22,104.5,-0.04,14928000,1556188915.68,104.25
XOM,20231120,104.5,105.38,105.88,104.43,104.96,-0.44,17392274,1826044414.13,104.99
XOM,20231117,104.96,103.06,105.43,102.75,102.46,2.44,22963188,2399671516.55,104.5
XOM,20231116,102.46,102.9,103.27,101.15,103.66,-1.16,22359528,2286217242.54,102.25
XOM,20231115,103.66,103.96,105.15,103.5,104.29,-0.6,20095708,2093159098.38,104.16
XOM,20231114,104.29,104.3,104.82,103.87,104.84,-0.52,18214625,1899313628.71,104.27
XOM,20231113,104.84,104.05,105.14,103.81,103.75,1.05,15268465,1598727379.53,104.71
XOM,20231110,103.75,103.93,104.41,102.91,102.96,0.77,17665391,1829134646.47,103.54
XOM,20231109,102.96,103.67,103.97,102.86,102.93,0.03,18350282,1896377046.29,103.34
XOM,20231108,102.93,103.73,104.9,102.89,104.21,-1.23,18527399,1916607735.11,103.45
XOM,20231107,104.21,104.47,104.86,103.29,105.87,-1.57,20233997,2104748663.88,104.02
XOM,20231106,105.87,108.17,108.27,105.77,107.78,-1.77,18747829,1997573868.3,106.55
XOM,20231103,107.78,108.4,108.78,106.54,109.11,-1.22,30097434,3239194197.84,107.62
XOM,20231102,109.11,105.88,109.19,105.5,105.64,3.28,24943930,2698546595.09,108.18
XOM,20231101,105.64,106.53,107.17,105.46,105.85,-0.2,28850454,3062995000.27,106.17
XOM,20231031,105.85,105.58,106.16,104.54,105.88,-0.03,22126348,2338954120.73,105.71
XOM,20231030,105.88,105.74,106.42,105.21,105.55,0.31,19277715,2038256132.99,105.73
XOM,20231027,105.55,108.89,109.86,104.96,107.6,-1.91,23027211,2437133233.33,105.84
XOM,20231026,107.6,107.45,108.34,106.5,108.59,-0.91,18667774,2003821449.17,107.34
XOM,20231025,108.59,108.52,109.5,108.13,108.39,0.18,22028485,2393628397.19,108.66
XOM,20231024,108.39,109.7,109.82,108.12,109.45,-0.97,16761852,1822650430.39,108.74
XOM,20231023,109.45,110.63,110.96,108.68,111.08,-1.47,18115797,1985574683.87,109.6
XOM,20231020,111.08,112.92,113.32,110.79,113.02,-1.72,22344860,2494873111.51,111.65
XOM,20231019,113.02,112.72,113.97,111.33,112.95,0.06,20922122,2362534385.09,112.92
XOM,20231018,112.95,111.82,113.39,111.7,111.39,1.4,23359083,2635142825.05,112.81
XOM,20231017,111.39,109.73,111.8,109.68,109.95,1.31,19692368,2187812435.54,111.1
XOM,20231016,109.95,110.5,110.68,109.13,109.87,0.07,18288321,2008999677.21,109.85
XOM,20231013,109.87,108.03,110.2,107.84,106.47,3.19,30115899,3292559492.47,109.33
XOM,20231012,106.47,107.59,107.84,106.09,106.49,-0.02,31104239,3325799293.15,106.92
XOM,20231011,106.49,106.96,107.17,104.83,110.45,-3.59,57701524,6108017903.63,105.86
XOM,20231010,110.45,111.02,111.45,110.12,110.92,-0.42,13858575,1534970223.57,110.76
XOM,20231009,110.92,110.44,112.07,109.52,107.17,3.5,22317840,2475309574.73,110.91
XOM,20231006,107.17,105.73,108.27,105.11,108.99,-1.67,25334051,2706188647.97,106.82
XOM,20231005,108.99,109.8,110.9,108.7,111.5,-2.25,20081672,2195689853.14,109.34
XOM,20231004,111.5,114.05,114.09,110.5,115.83,-3.74,19502329,2181725545.23,111.87
XOM,20231003,115.83,115.44,116.44,115.03,115.63,0.17,13264512,1534961502.58,115.72
XOM,20231002,115.63,117.53,117.79,114.55,117.58,-1.66,14385235,1660372594.17,115.42
