ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
AAPL,20231229,192.53,193.9,194.4,191.73,193.58,-0.54,42263942,8138852261.46,192.57
AAPL,20231228,193.58,194.14,194.66,193.17,193.15,0.22,33832129,6561284685.81,193.94
AAPL,20231227,193.15,192.49,193.5,191.09,193.05,0.05,47899817,9222352946.24,192.53
AAPL,20231226,193.05,193.61,193.89,192.83,193.6,-0.28,28810504,5565397372.05,193.17
AAPL,20231222,193.6,195.18,195.41,192.97,194.68,-0.55,36963329,7175007237.18,194.11
AAPL,20231221,194.68,196.1,197.08,193.5,194.83,-0.08,44075520,8582949861.81,194.73
AAPL,20231220,194.83,196.9,197.68,194.83,196.94,-1.07,50130985,9839845089.46,196.28
AAPL,20231219,196.94,196.16,196.95,195.89,195.89,0.54,40234512,7906483953.12,196.51
AAPL,20231218,195.89,196.09,196.63,194.39,197.57,-0.85,54182297,10594368020.6,195.53
AAPL,20231215,197.57,197.53,198.4,197.0,198.11,-0.27,115073130,22736288263.89,197.58
AAPL,20231214,198.11,198.02,199.62,196.16,197.96,0.08,65964188,13080580404.5,198.3
AAPL,20231213,197.96,195.09,198.0,194.85,194.71,1.67,67763125,13338540959.19,196.84
AAPL,20231212,194.71,193.08,194.72,191.72,193.18,0.79,51288485,9933979469.23,193.69
AAPL,20231211,193.18,193.11,193.49,191.42,195.71,-1.29,60777528,11708651588.66,192.65
AAPL,20231208,195.71,194.2,195.99,193.67,194.27,0.74,52325219,10210701898.74,195.14
AAPL,20231207,194.27,193.63,195.0,193.59,192.32,1.01,47339129,9203744468.87,194.42
AAPL,20231206,192.32,194.45,194.76,192.11,193.42,-0.57,40895125,7884609135.54,192.8
AAPL,20231205,193.42,190.21,194.4,190.18,189.43,2.11,65347040,12625165752.67,193.2
AAPL,20231204,189.43,189.98,190.05,187.45,191.24,-0.95,43074739,8136099279.71,188.88
AAPL,20231201,191.24,190.33,191.56,189.23,189.95,0.68,41342602,7888772477.02,190.81
AAPL,20231130,189.95,189.84,190.32,188.19,189.37,0.31,47990211,9083759902.84,189.28
AAPL,20231129,189.37,190.9,192.09,188.97,190.4,-0.54,37939700,7212610135.84,190.11
AAPL,20231128,190.4,189.78,191.08,189.4,189.79,0.32,37791508,7187015150.5,190.18
AAPL,20231127,189.79,189.92,190.67,188.9,189.97,-0.09,40397145,7667225015.82,189.8
AAPL,20231124,189.97,190.87,190.9,189.25,191.31,-0.7,24044899,4562995914.7,189.77
AAPL,20231122,191.31,191.49,192.93,190.82,190.64,0.35,39269586,7529746767.57,191.75
AAPL,20231121,190.64,191.41,191.52,189.74,191.45,-0.42,37919985,7223749937.7,190.5
AAPL,20231120,191.45,189.89,191.91,189.88,189.69,0.93,46239219,8846011115.12,191.31
AAPL,20231117,189.69,190.25,190.38,188.57,189.71,-0.01,50002829,9479381813.08,189.58
AAPL,20231116,189.71,189.57,190.96,188.65,188.01,0.9,53990321,10243211070.12,189.72
AAPL,20231115,188.01,187.85,189.5,187.78,187.44,0.3,53228848,10032770750.07,188.48
AAPL,20231114,187.44,187.7,188.11,186.3,184.8,1.43,59706415,11183519631.09,187.31
AAPL,20231113,184.8,185.82,186.03,184.21,186.4,-0.86,41970618,7757013815.82,184.82
AAPL,20231110,186.4,183.97,186.57,183.53,182.41,2.19,64941274,12037748986.64,185.36
AAPL,20231109,182.41,182.96,184.12,181.81,182.89,-0.26,52447711,9595324986.24,182.95
AAPL,20231108,182.89,182.35,183.45,181.59,181.82,0.59,49176012,8982387082.29,182.66
AAPL,20231107,181.82,179.18,182.44,178.97,179.23,1.45,70213813,12729792382.43,181.3
AAPL,20231106,179.23,176.38,179.43,176.21,176.65,1.46,63653426,11368884440.69,178.61
AAPL,20231103,176.65,174.24,176.82,173.35,177.57,-0.52,79033063,13880157979.46,175.62
AAPL,20231102,177.57,175.52,177.78,175.46,173.97,2.07,67020813,11869017367.83,177.09
AAPL,20231101,173.97,171.0,174.23,170.12,170.77,1.87,56203024,9698675398.59,172.57
AAPL,20231031,170.77,169.35,170.9,167.9,170.29,0.28,43515430,7390978728.99,169.85
AAPL,20231030,170.29,169.02,171.17,168.87,168.22,1.23,50470086,8583947179.87,170.08
AAPL,20231027,168.22,166.91,168.96,166.83,166.89,0.8,58296192,9787994762.61,167.9
AAPL,20231026,166.89,170.37,171.38,165.67,171.1,-2.46,69453938,11640202193.05,167.6
AAPL,20231025,171.1,171.88,173.06,170.65,173.44,-1.35,56600372,9708814630.16,171.53
AAPL,20231024,173.44,173.05,173.67,171.45,173.0,0.25,43579254,7526316276.53,172.7
AAPL,20231023,173.0,170.91,174.01,169.93,172.88,0.07,55238500,9520858697.73,172.36
AAPL,20231020,172.88,175.31,175.42,172.64,175.46,-1.47,63071586,10961180025.86,173.79
AAPL,20231019,175.46,176.04,177.84,175.19,175.84,-0.22,57623981,10158595573.11,176.29
AAPL,20231018,175.84,175.58,177.57,175.11,177.15,-0.74,54488407,9611101678.8,176.39
AAPL,20231017,177.15,176.65,178.42,174.8,178.72,-0.88,57420204,10154562106.69,176.85
AAPL,20231016,178.72,176.75,179.07,176.51,178.85,-0.07,52170961,9294231138.38,178.15
AAPL,20231013,178.85,181.42,181.93,178.14,180.71,-1.03,51080321,9165903880.56,179.44
AAPL,20231012,180.71,180.07,182.34,179.04,179.8,0.51,56547735,10233715032.08,180.97
AAPL,20231011,179.8,178.2,179.85,177.6,178.39,0.79,47038231,8415360605.59,178.9
AAPL,20231010,178.39,178.1,179.72,177.95,178.99,-0.34,43654864,7801225039.54,178.7
AAPL,20231009,178.99,176.81,179.05,175.8,177.49,0.85,42260825,7516252543.47,177.85
AAPL,20231006,177.49,173.8,177.99,173.18,174.91,1.48,57090012,10066939291.91,176.33
AAPL,20231005,174.91,173.79,175.45,172.68,173.66,0.72,48378836,8428541940.17,174.22
AAPL,20231004,173.66,171.09,174.21,170.97,172.4,0.73,52738579,9121897200.97,172.96
AAPL,20231003,172.4,172.26,173.63,170.82,173.75,-0.78,49040391,8441004230.69,172.12
AAPL,20231002,173.75,171.22,174.3,170.93,171.21,1.48,51959805,9003558638.54,173.28
AAPL,20230929,171.21,172.02,173.07,170.34,170.69,0.3,51602711,8855681078.06,171.61
AAPL,20230928,170.69,169.34,172.03,167.62,170.43,0.15,56139629,9560253770.25,170.29
AAPL,20230927,170.43,172.62,173.04,169.05,171.96,-0.89,66495938,11338628013.6,170.52
AAPL,20230926,171.96,174.82,175.2,171.66,176.08,-2.34,64233168,11095965671.81,172.75
AAPL,20230925,176.08,174.2,176.97,174.15,174.79,0.74,45986543,8078396686.17,175.67
AAPL,20230922,174.79,174.67,177.08,174.05,173.93,0.49,56413258,9900160092.82,175.49
AAPL,20230921,173.93,174.55,176.3,173.86,175.49,-0.89,61712836,10795358517.36,174.93
AAPL,20230920,175.49,179.26,179.7,175.4,179.07,-2.0,55688286,9862289642.86,177.1
AAPL,20230919,179.07,177.52,179.63,177.13,177.97,0.62,50487696,9006864105.73,178.4
AAPL,20230918,177.97,176.48,179.38,176.17,175.01,1.69,65105778,11587533530.08,177.98
AAPL,20230915,175.01,176.48,176.5,173.82,175.74,-0.42,108658880,19021508422.05,175.06
AAPL,20230914,175.74,174.0,176.1,173.58,174.21,0.88,59633145,10457924868.13,175.37
AAPL,20230913,174.21,176.51,177.3,173.98,176.3,-1.19,83448625,14606748016.14,175.04
AAPL,20230912,176.3,179.49,180.13,174.82,179.36,-1.71,89921000,15887764721.01,176.69
AAPL,20230911,179.36,180.07,180.3,177.34,178.18,0.66,58333129,10429473466.92,178.79
AAPL,20230908,178.18,178.35,180.24,177.79,177.56,0.35,65265875,11689881823.24,179.11
AAPL,20230907,177.56,175.18,178.21,173.54,182.91,-2.92,111944630,19779362341.14,176.69
AAPL,20230906,182.91,188.4,188.85,181.47,189.7,-3.58,81162500,14915403066.25,183.77
AAPL,20230905,189.7,188.28,189.98,187.61,189.46,0.13,44733133,8460234745.6,189.13
AAPL,20230901,189.46,189.49,189.92,188.28,187.87,0.85,44864067,8479847031.8,189.01
AAPL,20230831,187.87,187.84,189.12,187.48,187.65,0.12,60205458,11330372188.86,188.2
AAPL,20230830,187.65,184.94,187.85,184.74,184.12,1.92,60586528,11326167323.24,186.94
AAPL,20230829,184.12,179.7,184.9,179.5,180.19,2.18,53003950,9713578082.53,183.26
AAPL,20230828,180.19,180.09,180.59,178.54,178.61,0.88,42712868,7671402371.4,179.6
AAPL,20230825,178.61,177.38,179.15,175.82,176.38,1.26,49261801,8759684684.64,177.82
AAPL,20230824,176.38,180.67,181.1,176.01,181.12,-2.62,53224821,9458348750.7,177.71
AAPL,20230823,181.12,178.52,181.55,178.32,177.23,2.19,51470004,9298555481.64,180.66
AAPL,20230822,177.23,177.06,177.68,176.25,175.84,0.79,41383836,7324955525.53,177.0
AAPL,20230821,175.84,175.07,176.13,173.74,174.49,0.77,44990364,7881798882.65,175.19
AAPL,20230818,174.49,172.3,175.1,171.96,174.0,0.28,57974684,10079612481.76,173.86
AAPL,20230817,174.0,177.14,177.51,173.48,176.57,-1.46,61247071,10693775957.31,174.6
AAPL,20230816,176.57,177.13,178.54,176.5,177.45,-0.5,45598922,8095008362.64,177.53
AAPL,20230815,177.45,178.88,179.48,177.05,179.46,-1.12,43372426,7716470717.27,177.91
AAPL,20230814,179.46,177.97,179.69,177.31,177.79,0.94,43470333,7777798921.03,178.92
AAPL,20230811,177.79,177.32,178.62,176.55,177.97,-0.1,51897254,9227555438.36,177.8
AAPL,20230810,177.97,179.48,180.75,177.6,178.19,-0.12,52604356,9407663604.81,178.84
AAPL,20230809,178.19,180.87,180.93,177.01,179.8,-0.9,57796844,10315372648.48,178.48
AAPL,20230808,179.8,179.69,180.27,177.58,178.85,0.53,67602750,12099513153.9,178.98
AAPL,20230807,178.85,182.13,183.13,177.35,181.99,-1.73,96954438,17344209469.7,178.89
AAPL,20230804,181.99,185.52,187.38,181.92,191.17,-4.8,114746630,21152153953.74,184.34
AAPL,20230803,191.17,191.57,192.37,190.69,192.58,-0.73,52602668,10077598620.4,191.58
AAPL,20230802,192.58,195.04,195.18,191.85,195.6,-1.55,48896614,9434455470.42,192.95
AAPL,20230801,195.6,196.24,196.73,195.28,196.45,-0.43,34728055,6802020910.99,195.87
AAPL,20230731,196.45,196.06,196.49,195.26,195.83,0.32,38586821,7568272441.02,196.14
AAPL,20230728,195.83,194.67,196.63,194.14,193.22,1.35,47038219,9210798731.51,195.82
AAPL,20230727,193.22,196.02,197.2,192.55,194.5,-0.66,46915168,9145465041.43,194.94
AAPL,20230726,194.5,193.67,195.64,193.32,193.62,0.45,45928668,8927054156.09,194.37
AAPL,20230725,193.62,193.33,194.44,192.91,192.75,0.45,36356543,7046694241.69,193.82
AAPL,20230724,192.75,193.41,194.91,192.25,191.94,0.42,44861352,8668402480.84,193.23
AAPL,20230721,191.94,194.1,194.97,191.23,193.13,-0.62,63947665,12325567111.36,192.74
AAPL,20230720,193.13,195.09,196.47,192.5,195.1,-1.01,59056930,11475594792.28,194.31
AAPL,20230719,195.1,193.1,198.23,192.65,193.73,0.71,77205625,15049159762.44,194.92
AAPL,20230718,193.73,193.35,194.33,192.41,193.99,-0.13,48204489,9321012811.0,193.36
AAPL,20230717,193.99,191.9,194.32,191.81,190.69,1.73,49842868,9634771427.15,193.3
AAPL,20230714,190.69,190.23,191.18,189.63,190.54,0.08,40824774,7775478291.09,190.46
AAPL,20230713,190.54,190.5,191.19,189.78,189.77,0.41,40142950,7649764995.14,190.56
AAPL,20230712,189.77,189.68,191.7,188.47,188.08,0.9,59771149,11355872781.59,189.99
AAPL,20230711,188.08,189.16,189.3,186.6,188.61,-0.28,46416508,8716537470.72,187.79
AAPL,20230710,188.61,189.26,189.99,187.04,190.68,-1.09,59095879,11129373242.78,188.33
AAPL,20230707,190.68,191.41,192.67,190.24,191.81,-0.59,46599645,8921637174.22,191.45
AAPL,20230706,191.81,189.84,192.02,189.2,191.33,0.25,44995622,8584116729.56,190.78
AAPL,20230705,191.33,191.57,192.98,190.62,192.46,-0.59,46585293,8925443992.92,191.59
AAPL,20230703,192.46,193.78,193.88,191.76,193.97,-0.78,31450418,6058448440.89,192.63
AAPL,20230630,193.97,191.63,194.48,191.26,189.59,2.31,84226875,16261944701.83,193.07
AAPL,20230629,189.59,189.08,190.07,188.94,189.25,0.18,45451645,8615159322.51,189.55
AAPL,20230628,189.25,187.93,189.9,187.6,188.06,0.63,50900579,9614335504.18,188.88
AAPL,20230627,188.06,185.89,188.39,185.67,185.27,1.51,49726583,9322381749.44,187.47
AAPL,20230626,185.27,186.83,188.05,185.23,186.68,-0.76,47504500,8853679690.2,186.38
AAPL,20230623,186.68,185.55,187.56,185.01,187.0,-0.17,52965887,9877905405.26,186.5
AAPL,20230622,187.0,183.74,187.04,183.67,183.96,1.65,50844684,9461117785.1,186.08
AAPL,20230621,183.96,184.9,185.41,182.59,185.01,-0.57,49358727,9086310342.58,184.09
AAPL,20230620,185.01,184.41,186.1,184.41,184.92,0.05,48964547,9073713726.85,185.31
AAPL,20230616,184.92,186.73,186.99,184.27,186.01,-0.59,93807375,17404166710.39,185.53
AAPL,20230615,186.01,183.96,186.52,183.78,183.95,1.12,65278559,12113592705.73,185.57
AAPL,20230614,183.95,183.37,184.39,182.02,183.31,0.35,56522809,10382929703.08,183.69
AAPL,20230613,183.31,182.8,184.15,182.44,183.79,-0.26,54648547,10010138846.12,183.17
AAPL,20230612,183.79,181.27,183.89,180.97,180.96,1.56,53565383,9787322690.88,182.72
AAPL,20230609,180.96,181.5,182.23,180.63,180.57,0.22,48782149,8852379989.69,181.47
AAPL,20230608,180.57,177.9,180.84,177.46,177.82,1.55,49662500,8914627332.5,179.5
AAPL,20230607,177.82,178.44,181.21,177.32,179.21,-0.78,61571657,11002726421.14,178.7
AAPL,20230606,179.21,179.97,180.12,177.43,179.58,-0.21,64342719,11496333012.4,178.67
AAPL,20230605,179.58,182.63,184.95,178.04,180.95,-0.76,121324000,22106943468.4,182.21
AAPL,20230602,180.95,181.03,181.78,179.26,180.09,0.48,59943106,10826636678.24,180.62
AAPL,20230601,180.09,177.7,180.12,176.93,177.25,1.6,65296426,11707989376.18,179.31
AAPL,20230531,177.25,177.32,179.35,176.76,177.3,-0.03,99314875,17681167230.22,178.03
AAPL,20230530,177.3,176.96,178.99,176.57,175.43,1.07,55769852,9896918493.62,177.46
AAPL,20230526,175.43,173.32,175.77,173.11,172.99,1.41,54700176,9580752236.45,175.15
AAPL,20230525,172.99,172.41,173.9,171.69,171.84,0.67,55920325,9668731000.32,172.9
AAPL,20230524,171.84,171.09,172.42,170.52,171.56,0.16,43490930,7458311774.82,171.49
AAPL,20230523,171.56,173.13,173.38,171.28,174.2,-1.52,49178497,8470017947.94,172.23
AAPL,20230522,174.2,173.98,174.71,173.45,175.16,-0.55,43309399,7544371708.54,174.2
AAPL,20230519,175.16,176.39,176.39,174.94,175.05,0.06,52683465,9248640759.4,175.55
AAPL,20230518,175.05,173.0,175.24,172.58,172.69,1.37,65090329,11347607774.55,174.34
AAPL,20230517,172.69,171.71,172.93,170.42,172.07,0.36,57804950,9931122207.85,171.8
AAPL,20230516,172.07,171.99,173.14,171.8,172.07,0.0,41998692,7236274254.73,172.3
AAPL,20230515,172.07,173.16,173.21,171.47,172.57,-0.29,37266661,6413507017.45,172.1
AAPL,20230512,172.57,173.62,174.06,171.0,173.75,-0.68,45533137,7847859729.65,172.35
