O3,temp,ibh
3,40,2693
5,45,590
5,54,1450
6,35,1568
4,45,2631
4,55,554
6,41,2083
7,44,2654
6,51,111
5,51,492
4,58,1249
9,67,639
4,52,393
5,69,3044
6,51,3641
9,53,111
6,59,597
6,64,1791
11,63,793
10,63,531
7,62,419
12,63,816
9,54,3651
3,30,1341
3,42,3799
6,55,2398
3,41,4281
7,49,1161
11,45,2778
13,55,442
10,60,1341
15,54,1318
23,53,885
17,53,360
7,44,3497
8,49,613
12,56,334
12,53,567
16,61,488
9,63,531
24,70,508
13,57,1571
8,35,721
10,52,505
8,59,377
9,67,442
10,57,902
14,42,1381
7,39,1302
9,57,1292
12,62,472
8,51,1404
9,61,944
13,59,2014
10,51,524
7,46,2490
11,50,1144
15,65,547
22,66,413
17,69,610
7,59,3638
10,64,3848
19,68,1479
18,49,1108
12,52,869
19,66,1148
21,74,856
29,76,807
16,70,2040
11,67,314
12,61,1410
16,68,360
22,69,1568
20,74,1184
27,74,898
33,80,436
25,84,774
31,78,1181
18,80,1991
24,76,1597
16,74,1184
12,66,3005
9,66,2880
16,69,2125
8,62,3720
9,67,4337
29,80,2053
20,76,1958
5,65,3644
5,65,1368
11,63,3539
12,62,2785
19,68,984
17,68,1804
19,69,3234
16,66,3441
14,70,1578
10,70,1850
9,64,2962
7,61,2670
22,67,987
17,66,1148
26,74,898
27,83,777
14,78,1279
11,75,1046
23,84,1167
26,81,987
21,79,1144
15,79,977
20,65,770
15,81,629
18,84,337
26,83,590
19,90,400
13,90,580
30,93,646
26,88,826
15,72,823
16,72,2116
16,70,2972
19,78,2752
23,87,1377
28,91,1486
34,87,990
33,91,508
24,88,1204
17,83,2414
10,78,2385
14,79,2326
13,77,3389
17,81,2818
22,76,2394
19,78,2746
20,75,2493
25,82,1528
28,84,111
29,86,1899
23,80,1289
26,80,984
14,84,836
13,84,826
26,81,1105
22,85,1023
14,73,2956
13,72,2988
9,68,4291
12,65,3330
14,79,1233
24,81,1069
19,80,984
16,76,1653
7,59,3930
6,64,4212
15,74,1545
17,74,994
13,70,1125
20,77,636
22,83,748
24,81,692
26,73,807
32,87,869
33,89,800
27,92,393
38,92,557
23,93,620
19,93,1404
19,86,898
15,76,377
28,81,528
10,78,2818
14,73,3247
26,80,895
17,81,721
14,63,1965
29,72,1853
18,75,2342
9,61,4028
19,71,2716
8,71,3671
23,72,3795
13,75,3120
7,65,2667
11,64,308
12,61,2982
10,59,3070
17,72,830
26,71,711
30,75,1049
18,71,511
15,78,377
12,73,862
7,71,337
28,73,492
22,71,1394
18,66,3146
14,69,2234
24,69,2109
14,65,2270
9,54,2191
12,62,3448
6,58,2719
13,48,1899
8,61,2385
10,63,1938
12,65,590
6,71,328
20,68,597
14,69,469
16,59,1541
6,65,2014
8,66,436
14,66,830
18,63,1112
12,62,1210
9,60,501
7,63,875
14,60,1601
3,44,2280
3,53,2047
3,53,3720
3,58,311
6,55,2536
6,50,1154
5,48,2933
3,51,3064
4,62,826
5,44,111
5,55,948
4,48,3687
3,47,508
8,50,2851
2,51,111
5,50,3704
